Date,UAH
2023-12-29 06:33:00.630,150000.0
2023-12-29 06:33:00.698,278400.0
2023-12-29 06:33:00.704,278400.0
2023-12-29 06:33:00.706,15.0
2023-12-29 06:33:00.775,310400.0
2023-12-29 06:33:00.778,15.0
2023-12-29 06:33:00.786,108000.0
2023-12-29 06:33:00.855,15.0
2023-12-29 06:33:00.856,300800.0
2023-12-29 06:33:00.928,15.0
2023-12-29 06:33:00.938,329600.0
2023-12-29 10:39:00.054,149100.0
2023-12-29 10:39:00.067,15.0
2024-01-04 08:56:00.041,227200.0
2024-01-04 08:56:00.126,36000.0
2024-01-04 08:56:00.716,5.0
2024-01-04 08:56:00.786,15.0
2024-01-04 08:56:00.863,5.0
2024-01-04 08:56:00.896,60000.0
2024-01-04 08:56:00.967,114000.0
2024-01-04 12:45:00.123,3305.5
2024-01-09 12:46:00.649,15.0
2024-01-09 12:46:00.718,5.0
2024-01-09 12:46:00.780,167994.0
2024-01-09 12:46:00.794,64672.0
2024-01-10 11:21:00.023,5.0
2024-01-10 11:21:00.041,4860.0
2024-01-10 11:21:00.093,34000.0
2024-01-10 11:21:00.176,5.0
2024-01-10 11:21:00.264,5.0
2024-01-10 11:21:00.268,1800.0
2024-01-10 11:21:00.353,5.0
2024-01-10 11:21:00.637,41997.5
2024-01-10 11:21:00.639,13984.0
2024-01-10 11:21:00.697,5.0
2024-01-10 11:21:00.774,5.0
2024-01-10 11:21:00.851,28800.0
2024-01-10 11:21:00.917,33000.0
2024-01-10 11:21:00.938,17447.0
2024-01-10 11:21:00.981,71963.0
2024-01-10 11:57:00.712,5070000.0
2024-01-10 11:57:00.745,15.0
2024-01-11 09:31:00.013,5.0
2024-01-11 09:31:00.215,121855.48
2024-01-11 09:31:00.280,32448.0
2024-01-11 09:31:00.360,54350.0
2024-01-11 09:31:00.699,15.0
2024-01-11 09:31:00.769,5.0
2024-01-11 09:31:00.857,5.0
2024-01-11 09:31:00.925,22420.0
2024-01-11 12:13:00.231,198400.0
2024-01-11 12:13:00.287,54000.0
2024-01-11 12:13:00.364,297600.0
2024-01-11 12:13:00.438,150000.0
2024-01-11 12:13:00.512,15.0
2024-01-11 12:13:00.599,15.0
2024-01-12 09:51:00.022,100100.0
2024-01-12 10:06:00.014,1200.0
2024-01-15 08:19:00.038,1680.0
2024-01-17 05:02:00.027,1305.65
2024-01-17 05:02:00.117,5.0
2024-01-17 05:02:00.722,15667.83
2024-01-17 05:02:00.798,5.0
2024-01-17 05:02:00.867,19149.57
2024-01-17 05:02:00.945,5.0
2024-01-17 05:05:00.070,175.18
2024-01-17 05:05:00.149,70070.0
2024-01-18 05:23:00.168,15.0
2024-01-18 05:23:00.752,4847625.0
2024-01-22 09:03:00.050,5.0
2024-01-22 09:03:00.655,1408.23
2024-01-22 09:03:00.731,5.0
2024-01-22 09:03:00.819,1721.17
2024-01-22 09:03:00.901,5.0
2024-01-22 09:03:00.969,117.35
2024-01-22 09:06:00.434,15.74
2024-01-22 09:43:00.147,6297.9
2024-01-22 15:45:00.329,12.0
2024-01-22 15:45:00.357,527037.0
2024-01-23 10:07:00.473,15.0
2024-01-23 10:07:00.592,110000.0
2024-01-26 11:21:00.143,171000.0
2024-01-26 11:21:00.563,90000.0
2024-01-26 11:21:00.819,5.0
2024-01-26 11:21:00.906,15.0
2024-01-31 08:47:00.844,1017.0
2024-01-31 09:57:00.054,5.0
2024-01-31 09:57:00.139,15722.61
2024-01-31 09:57:00.223,5.0
2024-01-31 09:57:00.304,14058.0
2024-01-31 09:57:00.380,5.0
2024-01-31 09:57:00.447,1310.22
2024-01-31 09:57:00.528,5.0
2024-01-31 09:57:00.687,958.5
2024-01-31 09:57:00.740,5.0
2024-01-31 09:57:00.829,19216.52
2024-01-31 09:57:00.893,5.0
2024-01-31 09:57:00.975,11502.0
2024-01-31 10:03:00.052,304.39
2024-01-31 10:03:00.131,121754.5
2024-02-02 10:48:00.193,4950000.0
2024-02-02 10:48:00.632,15.0
2024-02-02 10:48:00.716,5115.39
2024-02-02 10:48:00.789,2662.0
2024-02-02 10:48:00.849,5.0
2024-02-02 11:32:00.626,1560.8
2024-02-06 11:16:00.423,900.0
2024-02-06 11:16:00.654,260.0
2024-02-06 11:16:00.742,5.0
2024-02-09 11:07:00.039,5.0
2024-02-09 11:07:00.043,8000.0
2024-02-09 11:07:00.120,5.0
2024-02-09 11:07:00.127,5.0
2024-02-09 11:07:00.193,61600.0
2024-02-09 11:07:00.198,21780.0
2024-02-09 11:07:00.267,5.0
2024-02-09 11:07:00.346,18542.0
2024-02-09 11:07:00.418,5.0
2024-02-09 11:07:00.479,30616.0
2024-02-09 11:07:00.507,5.0
2024-02-09 11:07:00.549,5427.21
2024-02-09 11:07:00.579,5.0
2024-02-09 11:07:00.625,61600.0
2024-02-09 11:07:00.634,16000.0
2024-02-09 11:07:00.657,5.0
2024-02-09 11:07:00.704,9984.0
2024-02-09 11:07:00.729,16650.0
2024-02-09 11:07:00.805,5.0
2024-02-09 11:07:00.889,7380.0
2024-02-09 11:07:00.899,5.0
2024-02-09 11:07:00.959,18375.0
2024-02-09 11:07:00.965,64445.0
2024-02-12 12:24:00.062,5.0
2024-02-12 12:24:00.500,96600.0
2024-02-12 12:24:00.695,48300.0
2024-02-12 12:24:00.985,5.0
2024-02-16 10:12:00.624,2450.0
2024-02-16 11:56:00.169,5.0
2024-02-16 11:56:00.621,70080.0
2024-02-19 04:02:00.052,5.0
2024-02-19 04:02:00.682,1376.43
2024-02-19 04:02:00.745,5.0
2024-02-19 04:02:00.814,20187.62
2024-02-19 04:02:00.898,5.0
2024-02-19 04:02:00.971,16517.14
2024-02-19 04:06:00.131,184.67
2024-02-19 04:07:00.218,73868.33
