Date,Category,UAH
2023-03-10 08:02:03.840,Люті пташки,30.0
2023-03-10 08:02:03.911,Люті пташки,500.0
2023-03-10 08:02:03.917,Люті пташки,50.0
2023-03-10 08:02:03.987,Люті пташки,200.0
2023-03-10 08:02:03.997,Люті пташки,1000.0
2023-03-10 08:07:03.019,Люті пташки,200.0
2023-03-10 08:07:03.097,Люті пташки,500.0
2023-03-10 08:07:03.151,Люті пташки,200.0
2023-03-10 08:07:03.174,Люті пташки,300.0
2023-03-10 08:07:03.230,Люті пташки,300.0
2023-03-10 08:07:03.254,Люті пташки,66.6
2023-03-10 08:07:03.309,Люті пташки,50.0
2023-03-10 08:07:03.332,Люті пташки,40.0
2023-03-10 08:07:03.385,Люті пташки,100.0
2023-03-10 08:07:03.415,Люті пташки,20.0
2023-03-10 08:07:03.470,Люті пташки,20.0
2023-03-10 08:07:03.493,Люті пташки,100.0
2023-03-10 08:07:03.571,Люті пташки,100.0
2023-03-10 08:07:03.614,Люті пташки,10.0
2023-03-10 08:07:03.627,Люті пташки,25.0
2023-03-10 08:07:03.647,Люті пташки,150.0
2023-03-10 08:07:03.701,Люті пташки,17.0
2023-03-10 08:07:03.785,Люті пташки,500.0
2023-03-10 08:07:03.860,Люті пташки,176.0
2023-03-10 08:07:03.942,Люті пташки,20.0
2023-03-10 08:12:03.034,Люті пташки,30.0
2023-03-10 08:12:03.112,Люті пташки,200.0
2023-03-10 08:12:03.191,Люті пташки,500.0
2023-03-10 08:12:03.278,Люті пташки,100.0
2023-03-10 08:12:03.350,Люті пташки,50.0
2023-03-10 08:12:03.425,Люті пташки,100.0
2023-03-10 08:12:03.500,Люті пташки,30.0
2023-03-10 08:12:03.578,Люті пташки,500.0
2023-03-10 08:12:03.653,Люті пташки,100.0
2023-03-10 08:12:03.725,Люті пташки,100.0
2023-03-10 08:12:03.733,Люті пташки,50.0
2023-03-10 08:12:03.803,Люті пташки,50.0
2023-03-10 08:12:03.884,Люті пташки,29.0
2023-03-10 08:12:03.958,Люті пташки,200.0
2023-03-10 08:17:03.048,Люті пташки,50.0
2023-03-10 08:17:03.123,Люті пташки,170.0
2023-03-10 08:17:03.204,Люті пташки,98.61
2023-03-10 08:17:03.277,Люті пташки,25000.0
2023-03-10 08:17:03.357,Люті пташки,200.0
2023-03-10 08:17:03.438,Люті пташки,151.35
2023-03-10 08:17:03.511,Люті пташки,20.0
2023-03-10 08:17:03.593,Люті пташки,30.0
2023-03-10 08:17:03.671,Люті пташки,500.0
2023-03-10 08:17:03.810,Люті пташки,100.0
2023-03-10 08:17:03.888,Люті пташки,200.0
2023-03-10 08:17:03.967,Люті пташки,20.0
2023-03-10 08:22:03.064,Люті пташки,1000.0
2023-03-10 08:22:03.077,Люті пташки,200.0
2023-03-10 08:22:03.141,Люті пташки,150.0
2023-03-10 08:22:03.152,Люті пташки,100.0
2023-03-10 08:22:03.215,Люті пташки,200.0
2023-03-10 08:22:03.260,Люті пташки,30.0
2023-03-10 08:22:03.294,Люті пташки,300.0
2023-03-10 08:22:03.331,Люті пташки,500.0
2023-03-10 08:22:03.377,Люті пташки,20.0
2023-03-10 08:22:03.410,Люті пташки,50.0
2023-03-10 08:22:03.450,Люті пташки,100.0
2023-03-10 08:22:03.493,Люті пташки,1.76
2023-03-10 08:22:03.527,Люті пташки,100.0
2023-03-10 08:22:03.583,Люті пташки,500.0
2023-03-10 08:22:03.608,Люті пташки,500.0
2023-03-10 08:22:03.677,Люті пташки,70.0
2023-03-10 08:22:03.685,Люті пташки,100.0
2023-03-10 08:22:03.748,Люті пташки,200.0
2023-03-10 08:22:03.765,Люті пташки,5.0
2023-03-10 08:22:03.833,Люті пташки,100.0
2023-03-10 08:22:03.840,Люті пташки,500.0
2023-03-10 08:22:03.905,Люті пташки,1000.0
2023-03-10 08:22:03.922,Люті пташки,300.0
2023-03-10 08:22:03.983,Люті пташки,100.0
2023-03-10 08:22:03.993,Люті пташки,50.0
2023-03-10 08:28:03.040,Люті пташки,50.0
2023-03-10 08:28:03.121,Люті пташки,200.0
2023-03-10 08:28:03.199,Люті пташки,200.0
2023-03-10 08:28:03.277,Люті пташки,50.0
2023-03-10 08:28:03.355,Люті пташки,100.0
2023-03-10 08:28:03.438,Люті пташки,50.0
2023-03-10 08:28:03.510,Люті пташки,100.0
2023-03-10 08:28:03.589,Люті пташки,70.0
2023-03-10 08:28:03.667,Люті пташки,1000.0
2023-03-10 08:28:03.729,Люті пташки,200.0
2023-03-10 08:28:03.749,Люті пташки,1.37
2023-03-10 08:28:03.814,Люті пташки,30.0
2023-03-10 08:28:03.887,Люті пташки,100.0
2023-03-10 08:28:03.962,Люті пташки,30.0
2023-03-10 08:33:03.008,Люті пташки,2662.7
2023-03-10 08:33:03.062,Люті пташки,100.0
2023-03-10 08:33:03.076,Люті пташки,300.0
2023-03-10 08:33:03.136,Люті пташки,50.0
2023-03-10 08:33:03.153,Люті пташки,200.0
2023-03-10 08:33:03.220,Люті пташки,40.0
2023-03-10 08:33:03.237,Люті пташки,19.0
2023-03-10 08:33:03.292,Люті пташки,300.0
2023-03-10 08:33:03.313,Люті пташки,2500.0
2023-03-10 08:33:03.377,Люті пташки,100.0
2023-03-10 08:33:03.393,Люті пташки,200.0
2023-03-10 08:33:03.453,Люті пташки,300.0
2023-03-10 08:33:03.471,Люті пташки,25.0
2023-03-10 08:33:03.528,Люті пташки,600.0
2023-03-10 08:33:03.559,Люті пташки,50.0
2023-03-10 08:33:03.610,Люті пташки,100.0
2023-03-10 08:33:03.626,Люті пташки,100.0
2023-03-10 08:33:03.691,Люті пташки,101.0
2023-03-10 08:33:03.705,Люті пташки,100.0
2023-03-10 08:33:03.765,Люті пташки,200.0
2023-03-10 08:33:03.781,Люті пташки,100.0
2023-03-10 08:33:03.824,Люті пташки,300.0
2023-03-10 08:33:03.842,Люті пташки,200.0
2023-03-10 08:33:03.902,Люті пташки,100.0
2023-03-10 08:33:03.924,Люті пташки,200.0
2023-03-10 08:33:03.989,Люті пташки,400.0
2023-03-10 08:38:03.017,Люті пташки,50.0
2023-03-10 08:38:03.054,Люті пташки,300.0
2023-03-10 08:38:03.093,Люті пташки,100.0
2023-03-10 08:38:03.129,Люті пташки,30.0
2023-03-10 08:38:03.172,Люті пташки,50.0
2023-03-10 08:38:03.207,Люті пташки,30.0
2023-03-10 08:38:03.251,Люті пташки,200.0
2023-03-10 08:38:03.284,Люті пташки,100.0
2023-03-10 08:38:03.334,Люті пташки,80.0
2023-03-10 08:38:03.366,Люті пташки,500.0
2023-03-10 08:38:03.411,Люті пташки,50.0
2023-03-10 08:38:03.440,Люті пташки,200.0
2023-03-10 08:38:03.497,Люті пташки,1000.0
2023-03-10 08:38:03.516,Люті пташки,150.0
2023-03-10 08:38:03.573,Люті пташки,100.0
2023-03-10 08:38:03.598,Люті пташки,200.0
2023-03-10 08:38:03.656,Люті пташки,93.0
2023-03-10 08:38:03.678,Люті пташки,500.0
2023-03-10 08:38:03.740,Люті пташки,20.0
2023-03-10 08:38:03.756,Люті пташки,400.0
2023-03-10 08:38:03.821,Люті пташки,200.0
2023-03-10 08:38:03.869,Люті пташки,20.0
2023-03-10 08:38:03.900,Люті пташки,350.0
2023-03-10 08:38:03.937,Люті пташки,100.0
2023-03-10 08:38:03.974,Люті пташки,500.0
2023-03-10 08:39:03.841,Люті пташки,66.0
2023-03-10 08:43:03.066,Люті пташки,600.0
2023-03-10 08:43:03.144,Люті пташки,500.0
2023-03-10 08:43:03.228,Люті пташки,300.0
2023-03-10 08:43:03.301,Люті пташки,100.0
2023-03-10 08:43:03.379,Люті пташки,70.0
2023-03-10 08:43:03.465,Люті пташки,100.0
2023-03-10 08:43:03.538,Люті пташки,100.0
2023-03-10 08:43:03.618,Люті пташки,300.0
2023-03-10 08:43:03.693,Люті пташки,100.0
2023-03-10 08:43:03.772,Люті пташки,100.0
2023-03-10 08:43:03.857,Люті пташки,100.0
2023-03-10 08:43:03.909,Люті пташки,500.0
2023-03-10 08:43:03.986,Люті пташки,500.0
2023-03-10 08:48:03.009,Люті пташки,50.0
2023-03-10 08:48:03.029,Люті пташки,200.0
2023-03-10 08:48:03.085,Люті пташки,350.0
2023-03-10 08:48:03.161,Люті пташки,300.0
2023-03-10 08:48:03.238,Люті пташки,10.0
2023-03-10 08:48:03.321,Люті пташки,500.0
2023-03-10 08:48:03.397,Люті пташки,45.0
2023-03-10 08:48:03.481,Люті пташки,50.0
2023-03-10 08:48:03.556,Люті пташки,60.0
2023-03-10 08:48:03.634,Люті пташки,100.0
2023-03-10 08:48:03.708,Люті пташки,299.0
2023-03-10 08:48:03.787,Люті пташки,30.0
2023-03-10 08:48:03.867,Люті пташки,350.0
2023-03-10 08:48:03.925,Люті пташки,23.0
2023-03-10 08:48:03.949,Люті пташки,100.0
2023-03-10 08:53:03.109,Люті пташки,23.0
2023-03-10 08:53:03.190,Люті пташки,50.0
2023-03-10 08:53:03.269,Люті пташки,400.0
2023-03-10 08:53:03.348,Люті пташки,100.0
2023-03-10 08:53:03.422,Люті пташки,200.0
2023-03-10 08:53:03.501,Люті пташки,50.0
2023-03-10 08:53:03.577,Люті пташки,46.0
2023-03-10 08:53:03.656,Люті пташки,100.0
2023-03-10 08:53:03.734,Люті пташки,100.0
2023-03-10 08:53:03.810,Люті пташки,500.0
2023-03-10 08:58:03.052,Люті пташки,500.0
2023-03-10 08:58:03.129,Люті пташки,120.0
2023-03-10 08:58:03.212,Люті пташки,2000.0
2023-03-10 08:58:03.285,Люті пташки,100.0
2023-03-10 08:58:03.366,Люті пташки,100.0
2023-03-10 08:58:03.447,Люті пташки,500.0
2023-03-10 08:58:03.527,Люті пташки,200.0
2023-03-10 08:58:03.891,Люті пташки,300.0
2023-03-10 08:58:03.970,Люті пташки,100.0
2023-03-10 09:03:03.087,Люті пташки,100.0
2023-03-10 09:03:03.151,Люті пташки,1000.0
2023-03-10 09:03:03.607,Люті пташки,500.0
2023-03-10 09:03:03.683,Люті пташки,200.0
2023-03-10 09:03:03.762,Люті пташки,100.0
2023-03-10 09:03:03.846,Люті пташки,500.0
2023-03-10 09:03:03.917,Люті пташки,200.0
2023-03-10 09:03:03.996,Люті пташки,53.0
2023-03-10 09:07:03.228,Люті пташки,5000.0
2023-03-10 09:09:03.311,Люті пташки,50.0
